bom_line_id,program,station_code,part_number,qty_per_aircraft
BOM-P-1001,TA-7,ST-20,P-1001,2
BOM-P-1002,TA-7,ST-30,P-1002,2
BOM-P-1003,TA-7,ST-40,P-1003,2
BOM-P-1004,TA-7,ST-50,P-1004,1
BOM-P-1005,TA-7,ST-60,P-1005,8
BOM-P-1006,TA-7,ST-70,P-1006,4
BOM-P-1007,TA-7,ST-80,P-1007,1
BOM-P-1008,TA-7,ST-10,P-1008,8
BOM-P-1009,TA-7,ST-20,P-1009,2
BOM-P-1010,TA-7,ST-30,P-1010,1
BOM-P-1011,TA-7,ST-40,P-1011,8
BOM-P-1012,TA-7,ST-50,P-1012,2
BOM-P-1013,TA-7,ST-60,P-1013,8
BOM-P-1014,TA-7,ST-70,P-1014,2
BOM-P-1015,TA-7,ST-80,P-1015,1
BOM-P-1016,TA-7,ST-10,P-1016,8
BOM-P-1017,TA-7,ST-20,P-1017,1
BOM-P-1018,TA-7,ST-30,P-1018,4
BOM-P-1019,TA-7,ST-40,P-1019,2
BOM-P-1020,TA-7,ST-50,P-1020,1
BOM-P-1021,TA-7,ST-60,P-1021,2
BOM-P-1022,TA-7,ST-70,P-1022,2
BOM-P-1023,TA-7,ST-80,P-1023,1
BOM-P-1024,TA-7,ST-10,P-1024,2
BOM-P-1025,TA-7,ST-20,P-1025,1
BOM-P-1026,TA-7,ST-30,P-1026,1
BOM-P-1027,TA-7,ST-40,P-1027,8
BOM-P-1028,TA-7,ST-50,P-1028,1
BOM-P-1029,TA-7,ST-60,P-1029,2
BOM-P-1030,TA-7,ST-70,P-1030,8
BOM-P-1031,TA-7,ST-80,P-1031,1
BOM-P-1032,TA-7,ST-10,P-1032,4
BOM-P-1033,TA-7,ST-20,P-1033,2
BOM-P-1034,TA-7,ST-30,P-1034,2
BOM-P-1035,TA-7,ST-40,P-1035,1
BOM-P-1036,TA-7,ST-50,P-1036,4
BOM-P-1037,TA-7,ST-60,P-1037,4
BOM-P-1038,TA-7,ST-70,P-1038,4
BOM-P-1039,TA-7,ST-80,P-1039,4
BOM-P-1040,TA-7,ST-10,P-1040,1
BOM-P-1041,TA-7,ST-20,P-1041,1
BOM-P-1042,TA-7,ST-30,P-1042,1
BOM-P-1043,TA-7,ST-40,P-1043,8
BOM-P-1044,TA-7,ST-50,P-1044,4
BOM-P-1045,TA-7,ST-60,P-1045,1
BOM-P-1046,TA-7,ST-70,P-1046,8
BOM-P-1047,TA-7,ST-80,P-1047,4
BOM-P-1048,TA-7,ST-10,P-1048,8
BOM-P-1049,TA-7,ST-20,P-1049,1
BOM-P-1050,TA-7,ST-30,P-1050,4
BOM-P-1051,TA-7,ST-40,P-1051,2
BOM-P-1052,TA-7,ST-50,P-1052,1
BOM-P-1053,TA-7,ST-60,P-1053,8
BOM-P-1054,TA-7,ST-70,P-1054,8
BOM-P-1055,TA-7,ST-80,P-1055,1
BOM-P-1056,TA-7,ST-10,P-1056,1
BOM-P-1057,TA-7,ST-20,P-1057,2
BOM-P-1058,TA-7,ST-30,P-1058,1
BOM-P-1059,TA-7,ST-40,P-1059,1
BOM-P-1060,TA-7,ST-50,P-1060,2
