lot_id,part_number,qty_on_hand,location,received_date
LOT-7000,P-1001,163,STORES-A,2026-07-18
LOT-7001,P-1002,82,STORES-A,2026-08-22
LOT-7002,P-1003,0,STORES-A,2026-09-08
LOT-7003,P-1004,42,STORES-B,2026-05-29
LOT-7004,P-1005,162,STORES-A,2026-06-11
LOT-7005,P-1006,74,STORES-A,2026-07-03
LOT-7006,P-1007,78,STORES-A,2026-05-29
LOT-7007,P-1008,66,STORES-A,2026-08-06
LOT-7008,P-1009,35,STORES-A,2026-05-28
LOT-7009,P-1010,134,STORES-A,2026-07-23
LOT-7010,P-1011,78,STORES-B,2026-06-24
LOT-7011,P-1012,188,LINESIDE-4,2026-06-11
LOT-7012,P-1013,211,STORES-A,2026-07-09
LOT-7013,P-1014,125,STORES-A,2026-07-04
LOT-7014,P-1015,230,STORES-A,2026-08-04
LOT-7015,P-1016,138,LINESIDE-4,2026-08-10
LOT-7016,P-1017,34,STORES-A,2026-07-18
LOT-7017,P-1018,229,STORES-A,2026-06-21
LOT-7018,P-1019,0,STORES-A,2026-06-13
LOT-7019,P-1020,159,STORES-A,2026-07-06
LOT-7020,P-1021,116,STORES-B,2026-07-29
LOT-7021,P-1022,56,STORES-B,2026-06-08
LOT-7022,P-1023,18,LINESIDE-4,2026-07-18
LOT-7023,P-1024,88,STORES-A,2026-09-04
LOT-7024,P-1025,38,STORES-A,2026-07-03
LOT-7025,P-1026,133,STORES-B,2026-07-29
LOT-7026,P-1027,9,LINESIDE-4,2026-07-17
LOT-7027,P-1028,108,STORES-A,2026-08-05
LOT-7028,P-1029,14,STORES-A,2026-06-30
LOT-7029,P-1030,98,STORES-B,2026-05-25
LOT-7030,P-1031,185,LINESIDE-4,2026-07-22
LOT-7031,P-1032,19,STORES-A,2026-06-18
LOT-7032,P-1033,11,STORES-B,2026-07-22
LOT-7033,P-1034,156,STORES-A,2026-07-08
LOT-7034,P-1035,0,LINESIDE-4,2026-06-01
LOT-7035,P-1036,159,STORES-B,2026-06-15
LOT-7036,P-1037,123,STORES-A,2026-06-12
LOT-7037,P-1038,87,LINESIDE-4,2026-05-23
LOT-7038,P-1039,219,LINESIDE-4,2026-08-30
LOT-7039,P-1040,82,STORES-A,2026-08-09
LOT-7040,P-1041,201,LINESIDE-4,2026-06-18
LOT-7041,P-1042,159,STORES-A,2026-06-08
LOT-7042,P-1043,234,STORES-A,2026-07-12
LOT-7043,P-1044,175,STORES-A,2026-07-20
LOT-7044,P-1045,120,STORES-B,2026-05-30
LOT-7045,P-1046,178,STORES-B,2026-07-30
LOT-7046,P-1047,183,STORES-B,2026-05-31
LOT-7047,P-1048,153,STORES-A,2026-06-29
LOT-7048,P-1049,227,STORES-A,2026-06-23
LOT-7049,P-1050,56,LINESIDE-4,2026-09-06
LOT-7050,P-1051,99,STORES-B,2026-07-11
LOT-7051,P-1052,130,STORES-A,2026-07-27
LOT-7052,P-1053,13,STORES-A,2026-08-12
LOT-7053,P-1054,195,LINESIDE-4,2026-08-11
LOT-7054,P-1055,62,STORES-B,2026-07-03
LOT-7055,P-1056,108,LINESIDE-4,2026-05-15
LOT-7056,P-1057,25,STORES-A,2026-07-14
LOT-7057,P-1058,38,STORES-A,2026-07-19
LOT-7058,P-1059,73,STORES-A,2026-06-20
LOT-7059,P-1060,31,STORES-A,2026-07-31
