work_order_id,serial_number,station_code,status,started_date,completed_date,hours_booked,standard_hours
WO-5001,TA7-031,ST-10,Complete,2026-01-14,2026-02-01,320,320
WO-5002,TA7-031,ST-20,Complete,2026-02-01,2026-02-20,280,280
WO-5003,TA7-031,ST-30,Complete,2026-02-20,2026-03-09,240,240
WO-5004,TA7-031,ST-40,Complete,2026-03-09,2026-04-05,400,400
WO-5005,TA7-031,ST-50,Complete,2026-04-05,2026-04-26,300,300
WO-5006,TA7-031,ST-60,Complete,2026-04-26,2026-05-14,260,260
WO-5007,TA7-031,ST-70,Complete,2026-05-14,2026-05-26,160,160
WO-5008,TA7-031,ST-80,Complete,2026-05-26,2026-06-17,340,340
WO-5009,TA7-032,ST-10,Complete,2026-01-30,2026-02-17,320,320
WO-5010,TA7-032,ST-20,Complete,2026-02-17,2026-03-08,280,280
WO-5011,TA7-032,ST-30,Complete,2026-03-08,2026-03-25,240,240
WO-5012,TA7-032,ST-40,Complete,2026-03-25,2026-04-21,400,400
WO-5013,TA7-032,ST-50,Complete,2026-04-21,2026-05-12,300,300
WO-5014,TA7-032,ST-60,Complete,2026-05-12,2026-05-30,260,260
WO-5015,TA7-032,ST-70,Complete,2026-05-30,2026-06-11,160,160
WO-5016,TA7-032,ST-80,Complete,2026-06-11,2026-07-03,340,340
WO-5017,TA7-033,ST-10,Complete,2026-02-25,2026-03-15,320,320
WO-5018,TA7-033,ST-20,Complete,2026-03-15,2026-04-03,280,280
WO-5019,TA7-033,ST-30,Complete,2026-04-03,2026-04-20,240,240
WO-5020,TA7-033,ST-40,Complete,2026-04-20,2026-05-17,400,400
WO-5021,TA7-033,ST-50,Complete,2026-05-17,2026-06-07,300,300
WO-5022,TA7-033,ST-60,Complete,2026-06-07,2026-06-25,260,260
WO-5023,TA7-033,ST-70,Complete,2026-06-25,2026-07-07,160,160
WO-5024,TA7-033,ST-80,Complete,2026-07-07,2026-07-29,340,340
WO-5025,TA7-034,ST-10,Complete,2026-03-18,2026-04-05,320,320
WO-5026,TA7-034,ST-20,Complete,2026-04-05,2026-04-24,280,280
WO-5027,TA7-034,ST-30,Complete,2026-04-24,2026-05-11,240,240
WO-5028,TA7-034,ST-40,Complete,2026-05-11,2026-06-07,400,400
WO-5029,TA7-034,ST-50,Complete,2026-06-07,2026-06-28,300,300
WO-5030,TA7-034,ST-60,Complete,2026-06-28,2026-07-16,260,260
WO-5031,TA7-034,ST-70,Complete,2026-07-16,2026-07-28,160,160
WO-5032,TA7-034,ST-80,Blocked,2026-07-28,,232,340
WO-5033,TA7-035,ST-10,Complete,2026-04-05,2026-04-23,320,320
WO-5034,TA7-035,ST-20,Complete,2026-04-23,2026-05-12,280,280
WO-5035,TA7-035,ST-30,Complete,2026-05-12,2026-05-29,240,240
WO-5036,TA7-035,ST-40,Complete,2026-05-29,2026-06-25,400,400
WO-5037,TA7-035,ST-50,Complete,2026-06-25,2026-07-16,300,300
WO-5038,TA7-035,ST-60,Complete,2026-07-16,2026-08-03,260,260
WO-5039,TA7-035,ST-70,Complete,2026-08-03,2026-08-15,160,160
WO-5040,TA7-035,ST-80,In Progress,2026-08-15,,144,340
WO-5041,TA7-036,ST-10,Complete,2026-04-24,2026-05-12,320,320
WO-5042,TA7-036,ST-20,Complete,2026-05-12,2026-05-31,280,280
WO-5043,TA7-036,ST-30,Complete,2026-05-31,2026-06-17,240,240
WO-5044,TA7-036,ST-40,Complete,2026-06-17,2026-07-14,400,400
WO-5045,TA7-036,ST-50,Complete,2026-07-14,2026-08-04,300,300
WO-5046,TA7-036,ST-60,Complete,2026-08-04,2026-08-22,260,260
WO-5047,TA7-036,ST-70,Complete,2026-08-22,2026-09-03,160,160
